# .test .cputime .temperature .time_mat1 .time_mat2
245 0.257529  3.896 0.001881 0.002506
246 0.258818  3.409 0.002002 0.002602
247 0.258991  5.357 0.001913 0.002595
248 0.259801  4.870 0.002033 0.002593
249 0.262355  4.870 0.002062 0.002712
250 0.262461  5.357 0.002066 0.002710
251 0.265080  3.896 0.002023 0.002897
252 0.263906  5.357 0.002151 0.002879
253 0.266029  4.870 0.002008 0.002846
254 0.266381  5.357 0.002178 0.002687
255 0.278320  5.357 0.002043 0.002901
256 0.267426  4.870 0.002176 0.002863
257 0.280677  4.383 0.002131 0.002905
258 0.270466  4.870 0.002215 0.002941
259 0.272468  4.383 0.002157 0.003018
260 0.271467  4.870 0.002250 0.002918
261 0.273744  5.357 0.002154 0.003063
262 0.273652  5.357 0.002251 0.002906
263 0.275026  5.357 0.002251 0.003092
264 0.275449  4.870 0.002244 0.003002
265 0.276389  4.870 0.002288 0.003196
266 0.277540  4.870 0.002321 0.003132
267 0.279323  4.870 0.002283 0.003274
268 0.279350  5.844 0.002317 0.003329
269 0.279498  4.383 0.002351 0.003120
270 0.281919  4.870 0.002355 0.003303
271 0.281497  4.870 0.002395 0.003274
272 0.282944  4.870 0.002388 0.003421
273 0.283802  4.870 0.002438 0.003423
274 0.284968  4.870 0.002447 0.003430
275 0.286472  5.357 0.002552 0.003382
276 0.286108  5.357 0.002491 0.003342
277 0.287391  5.357 0.002592 0.003549
278 0.289024  3.896 0.002527 0.003422
279 0.287851  5.357 0.002595 0.003578
280 0.289648  5.844 0.002567 0.003517
281 0.291911  4.870 0.002679 0.003729
282 0.292052  5.357 0.002556 0.003585
283 0.294082  4.383 0.002716 0.003580
284 0.293815  5.357 0.002640 0.003632
285 0.295427  6.331 0.002758 0.003772
286 0.294487  5.357 0.002624 0.004091
287 0.296626  5.357 0.002808 0.003704
288 0.297506  5.844 0.002704 0.003779
289 0.298843  5.844 0.002912 0.003924
290 0.300224  5.357 0.002740 0.003870
291 0.300667  4.870 0.002889 0.004189
292 0.301129  4.870 0.002782 0.003959
293 0.302280  5.357 0.002887 0.003918
294 0.302221  5.357 0.002780 0.004152
295 0.303717  4.870 0.002970 0.004194
296 0.306266  6.818 0.002890 0.004081
297 0.305830  6.331 0.003006 0.004229
298 0.307795  5.357 0.002859 0.004189
299 0.308702  5.844 0.003051 0.004139
300 0.308037  6.331 0.002971 0.004364
301 0.310116  5.357 0.003055 0.004321
302 0.309546  5.844 0.002939 0.004318
303 0.311143  5.844 0.003104 0.004393
304 0.313790  5.844 0.002981 0.004564
305 0.313901  5.357 0.003180 0.004509
306 0.314740  5.844 0.003095 0.004531
307 0.317054  5.357 0.003186 0.004513
308 0.316613  6.818 0.003105 0.004683
309 0.317883  5.844 0.003226 0.004586
310 0.317719  5.844 0.003183 0.004656
311 0.318525  6.331 0.003305 0.004949
312 0.319685  5.844 0.003179 0.004683
313 0.321180  5.357 0.003233 0.004814
314 0.320370  6.331 0.003236 0.004932
315 0.324289  5.844 0.003344 0.004773
316 0.323858  5.357 0.003277 0.005012
317 0.325226  5.844 0.003305 0.004876
318 0.325250  6.818 0.003315 0.005006
319 0.325695  6.331 0.003358 0.005071
320 0.326745  6.331 0.003346 0.005006
321 0.329364  5.844 0.003342 0.005122
322 0.330775  5.357 0.003385 0.005145
323 0.331757  6.331 0.003383 0.005285
324 0.330794  7.305 0.003420 0.005189
325 0.332412  6.331 0.003477 0.005184
326 0.333492  6.818 0.003622 0.005180
327 0.333599  5.844 0.003484 0.005211
328 0.334056  6.818 0.003611 0.005381
329 0.335793  6.331 0.003467 0.005270
330 0.337658  5.844 0.003583 0.005511
331 0.339282  5.844 0.003506 0.005628
332 0.338596  5.844 0.003691 0.005497
333 0.338418  5.844 0.003587 0.005507
334 0.340600  7.305 0.003604 0.005503
335 0.341524  5.357 0.003614 0.005718
336 0.342253  5.844 0.003760 0.005588
337 0.343087  6.818 0.003678 0.005723
338 0.345212  5.844 0.003777 0.005833
339 0.346325  6.331 0.003725 0.005638
340 0.345308  6.331 0.003739 0.005787
341 0.346908  6.818 0.003709 0.005949
342 0.348097  6.818 0.003839 0.005834
343 0.347593  6.818 0.003747 0.005842
344 0.349674  6.818 0.003767 0.006106
345 0.351424  7.305 0.003792 0.006043
346 0.352431  6.331 0.003976 0.006259
347 0.353779  6.818 0.003829 0.006073
348 0.353255  6.818 0.004061 0.006030
349 0.353868  7.792 0.003878 0.006266
350 0.354882  7.305 0.003970 0.006111
351 0.354432  5.844 0.003912 0.006261
352 0.358329  6.331 0.004097 0.006313
353 0.358828  7.305 0.003950 0.006453
354 0.359708  7.305 0.004137 0.006445
355 0.361106  7.305 0.003993 0.006597
356 0.361927  5.844 0.004110 0.006386
357 0.361824  7.792 0.004002 0.006620
358 0.362240  5.844 0.004106 0.006695
359 0.362760  6.331 0.004124 0.006490
360 0.364503  5.844 0.004175 0.006680
361 0.366369  6.331 0.004121 0.006769
362 0.368084  6.331 0.004276 0.006925
363 0.367967  6.818 0.004206 0.006804
364 0.368998  5.844 0.004262 0.006739
365 0.367950  8.766 0.004260 0.007003
366 0.369322  5.844 0.004297 0.006873
367 0.371782  7.792 0.004239 0.007123
368 0.372360  6.818 0.004372 0.006995
369 0.374304  6.818 0.004320 0.006993
370 0.374894  6.818 0.004393 0.007037
371 0.376940  6.818 0.004401 0.007299
372 0.375459  7.305 0.004430 0.007211
373 0.375093  6.818 0.004407 0.007185
374 0.374771  7.792 0.004444 0.007543
375 0.379363  7.305 0.004453 0.007253
376 0.379875  6.331 0.004497 0.007234
377 0.381917  6.331 0.004648 0.007471
378 0.381755  7.305 0.004508 0.007379
379 0.384292  7.792 0.004690 0.007533
380 0.382259  7.305 0.004577 0.007673
381 0.383854  7.305 0.004738 0.007663
382 0.382758  6.818 0.004598 0.007643
383 0.386369  6.818 0.004832 0.007595
384 0.388522  6.818 0.004653 0.007661
385 0.389117  6.818 0.004830 0.007793
386 0.390185  7.305 0.004731 0.007876
387 0.391251  7.792 0.004919 0.007804
388 0.389291  6.818 0.004720 0.007904
389 0.391736  7.792 0.004859 0.008065
390 0.393001  7.305 0.004772 0.007993
391 0.394483  8.279 0.004986 0.007962
392 0.395730  5.844 0.004851 0.008253
393 0.396418  6.818 0.005082 0.008003
394 0.398570  6.331 0.004866 0.008121
395 0.399088  7.305 0.005088 0.008360
396 0.396146  7.305 0.004935 0.008109
397 0.397937  7.305 0.005062 0.008470
398 0.398674  7.792 0.004948 0.008507
399 0.399952  7.305 0.005076 0.008528
400 0.401301  7.305 0.004996 0.008341
401 0.403695  8.279 0.005074 0.008573
402 0.406894  7.792 0.005054 0.008782
403 0.406098  7.792 0.005292 0.008780
404 0.404728  7.305 0.005096 0.008862
405 0.404879  6.818 0.005336 0.008749
406 0.407005  7.305 0.005189 0.008734
407 0.409689  7.305 0.005255 0.008672
408 0.411163  7.792 0.005188 0.008900
409 0.412028  7.792 0.005439 0.008778
410 0.413082  8.279 0.005284 0.008934
411 0.413546  6.818 0.005526 0.008941
412 0.414015  6.818 0.005326 0.009186
413 0.414664  6.818 0.005577 0.008858
414 0.416993  7.792 0.005399 0.008955
415 0.417845  7.792 0.005453 0.008991
416 0.418908  7.792 0.005425 0.009396
417 0.420384  7.792 0.005505 0.009214
418 0.422151  7.305 0.005494 0.009258
419 0.420205  7.305 0.005508 0.009364
420 0.421321  9.253 0.005563 0.009223
421 0.422547  9.253 0.005607 0.009403
422 0.422754  7.792 0.005607 0.009639
423 0.423308  7.305 0.005641 0.009325
424 0.427581  7.792 0.005654 0.009488
425 0.427539  9.253 0.005631 0.009745
426 0.429876  7.305 0.005679 0.009553
427 0.429496  8.279 0.005902 0.009761
428 0.430169  7.792 0.005729 0.009629
429 0.431314  8.279 0.005671 0.010006
430 0.430895  8.766 0.005893 0.009811
431 0.431558  7.305 0.005748 0.010092
432 0.433414  7.305 0.005924 0.009793
433 0.437868  6.818 0.005957 0.009818
434 0.438383  7.305 0.005955 0.010362
435 0.437967  8.766 0.005797 0.010163
436 0.437709  7.305 0.006023 0.010141
437 0.438613  7.792 0.005830 0.010294
438 0.439221  7.792 0.006022 0.010557
439 0.441044  7.305 0.005855 0.010423
440 0.443465  8.279 0.006133 0.010212
441 0.444651  7.792 0.005865 0.010649
442 0.445963  8.766 0.006146 0.010354
443 0.445634  8.279 0.005966 0.010694
444 0.445503  7.792 0.006225 0.010514
445 0.446670  7.305 0.006080 0.010792
446 0.448147  7.792 0.006201 0.010470
447 0.449922  7.792 0.006126 0.010746
448 0.449094  8.279 0.006298 0.010575
449 0.452522  7.305 0.006075 0.010919
450 0.454441  9.253 0.006351 0.010845
451 0.453358  7.305 0.006209 0.011014
452 0.453955  8.279 0.006300 0.010846
453 0.454418  8.279 0.006218 0.010806
454 0.456826  7.305 0.006456 0.011252
455 0.457155  8.279 0.006276 0.011109
456 0.459387  8.766 0.006554 0.011005
457 0.459944  8.279 0.006283 0.011303
458 0.461710  8.766 0.006608 0.011428
459 0.462674  8.279 0.006380 0.011238
460 0.461104  8.279 0.006558 0.011430
461 0.462896  8.766 0.006390 0.011426
462 0.464313  8.766 0.006697 0.011252
463 0.466061  8.279 0.006622 0.011696
464 0.465974  7.792 0.006787 0.011545
465 0.467940  9.253 0.006550 0.011693
466 0.466952  7.792 0.006646 0.011805
467 0.469597  8.279 0.006662 0.011757
468 0.469386  8.279 0.006670 0.011642
469 0.471211  9.253 0.006673 0.011834
470 0.471410  9.253 0.006836 0.011851
471 0.474933  9.740 0.006818 0.012046
472 0.474709  7.305 0.006771 0.012191
473 0.476254  8.766 0.006956 0.011923
474 0.475117  7.792 0.006826 0.012254
475 0.477848  7.792 0.007105 0.012129
476 0.476379  9.740 0.006897 0.012012
477 0.477781  8.766 0.006916 0.012118
478 0.478922  9.740 0.007021 0.012152
479 0.480291  8.766 0.006966 0.012218
480 0.482874  8.766 0.007023 0.012509
481 0.484045  8.766 0.007021 0.012225
482 0.484843  7.792 0.007277 0.012469
483 0.485435  8.766 0.007031 0.012920
484 0.482830  9.253 0.007232 0.012809
485 0.486009  9.253 0.007131 0.012628
486 0.485914  8.279 0.007161 0.012830
487 0.488818  8.279 0.007216 0.012993
488 0.491458  8.279 0.007244 0.013117
489 0.491787  8.279 0.007243 0.013166
490 0.492785  8.279 0.007230 0.013163
491 0.491831  9.253 0.007358 0.013074
492 0.492807  8.766 0.007292 0.013199
493 0.494459  8.766 0.007435 0.013081
494 0.494797  9.253 0.007346 0.013226
495 0.495568  8.766 0.007475 0.013381
496 0.498075  9.253 0.007453 0.013531
497 0.499441  8.279 0.007515 0.013423
498 0.499166  9.253 0.007516 0.013582
499 0.500772  8.279 0.007516 0.013546
500 0.501144  9.740 0.007543 0.013670
